symbol,date,open,high,low,close,volume,adjclose,dividends,splits
ABCB4.SA,2020-01-01,20.190000534057617,23.850000381469727,10.612972259521484,13.13231372833252,59363630.0,10.327052116394043,0.487007,0.0
ABCB4.SA,2020-04-01,12.477682113647461,15.820272445678711,11.208091735839844,13.965481758117676,55136315.0,11.25369644165039,0.0,0.0
ABCB4.SA,2020-07-01,13.876214027404785,15.324338912963867,11.510750770568848,11.669794082641602,50872565.0,9.403779029846191,0.157723,0.0
ABCB4.SA,2020-10-01,11.759256362915039,15.884439468383789,11.500810623168945,15.576292991638184,50786571.0,12.696451187133789,0.0,0.0
ABCB4.SA,2021-01-01,15.576292991638184,16.770000457763672,14.199999809265137,14.5,50211847.0,11.8191499710083,0.338164,0.0
ABCB4.SA,2021-04-01,14.359999656677246,18.079999923706055,14.020000457763672,15.880000114440918,43873600.0,13.222538948059082,0.213,0.0
ABCB4.SA,2021-07-01,15.75,18.040000915527344,14.279999732971191,14.890000343322754,63249900.0,12.583054542541504,0.219,0.0
ABCB4.SA,2021-10-01,14.930000305175781,18.239999771118164,14.770000457763672,15.770000457763672,58630200.0,13.513070106506348,0.232,0.0
ABCB4.SA,2022-01-01,15.819999694824219,17.510000228881836,14.84000015258789,17.229999542236328,57937100.0,14.992198944091797,0.252,0.0
ABCB4.SA,2022-04-01,17.010000228881836,17.440000534057617,14.880000114440918,15.520000457763672,48622100.0,13.722186088562012,0.313,0.0
ABCB4.SA,2022-07-01,15.430000305175781,21.09000015258789,14.869999885559082,20.899999618530273,53005100.0,18.820877075195312,0.352,0.0
ABCB4.SA,2022-10-01,20.75,23.18000030517578,17.649999618530273,19.639999389648438,49760600.0,18.09665870666504,0.362,0.0
ABCB4.SA,2023-01-01,19.329999923706055,20.59000015258789,16.18000030517578,16.829999923706055,57123000.0,15.780805587768555,0.37,0.0
ABCB4.SA,2023-04-01,16.989999771118164,18.974292755126953,15.850000381469727,18.855640411376953,58522006.0,18.01963996887207,0.0,0.0
ABCB4.SA,2023-07-01,18.0,20.790000915527344,17.670000076293945,19.90999984741211,51067300.0,19.027252197265625,0.836,0.0
AGRO3.SA,2020-01-01,19.020000457763672,20.979999542236328,13.0,17.350000381469727,10049300.0,11.563021659851074,0.0,0.0
AGRO3.SA,2020-04-01,16.90999984741211,22.65999984741211,16.049999237060547,20.959999084472656,9829100.0,13.968928337097168,0.0,0.0
AGRO3.SA,2020-07-01,20.989999771118164,23.350000381469727,19.350000381469727,21.700000762939453,10990000.0,14.462109565734863,0.0,0.0
AGRO3.SA,2020-10-01,21.719999313354492,27.920000076293945,21.149999618530273,25.0,11343700.0,16.661415100097656,0.709664,0.0
AGRO3.SA,2021-01-01,25.0,28.0,21.239999771118164,22.719999313354492,33829800.0,15.639599800109863,0.0,0.0
AGRO3.SA,2021-04-01,22.729999542236328,36.47999954223633,22.6200008392334,30.0,69132800.0,20.65087890625,0.0,0.0
AGRO3.SA,2021-07-01,30.0,31.399999618530273,24.899999618530273,30.450000762939453,40186400.0,20.96064567565918,0.0,0.0
AGRO3.SA,2021-10-01,30.899999618530273,34.2599983215332,23.229999542236328,28.850000381469727,51030700.0,19.859264373779297,2.621181,0.0
AGRO3.SA,2022-01-01,28.959999084472656,35.09000015258789,25.969999313354492,31.860000610351562,50537200.0,24.120433807373047,0.0,0.0
AGRO3.SA,2022-04-01,31.959999084472656,35.029998779296875,24.3799991607666,24.3799991607666,47079700.0,18.45750617980957,2.016293,0.0
AGRO3.SA,2022-07-01,24.3799991607666,31.200000762939453,22.18000030517578,30.200000762939453,37728300.0,24.287240982055664,0.0,0.0
AGRO3.SA,2022-10-01,30.469999313354492,33.04999923706055,25.200000762939453,29.959999084472656,33855000.0,24.094228744506836,3.238673,0.0
AGRO3.SA,2023-01-01,29.959999084472656,30.6299991607666,23.600000381469727,24.100000381469727,26793900.0,21.534801483154297,0.0,0.0
AGRO3.SA,2023-04-01,24.059999465942383,25.75,22.290000915527344,24.510000228881836,28995700.0,21.901161193847656,0.0,0.0
AGRO3.SA,2023-07-01,24.56999969482422,29.600000381469727,23.0,28.719999313354492,36574100.0,25.663049697875977,0.0,0.0
RAIL3.SA,2020-01-01,26.100000381469727,26.59000015258789,13.5,19.649999618530273,801296400.0,19.56142234802246,0.0,0.0
RAIL3.SA,2020-04-01,18.68000030517578,24.700000762939453,18.459999084472656,22.489999771118164,571824500.0,22.388620376586914,0.0,0.0
RAIL3.SA,2020-07-01,22.5,24.3799991607666,18.790000915527344,19.059999465942383,618244400.0,18.97408103942871,0.0,0.0
RAIL3.SA,2020-10-01,19.100000381469727,21.0,17.309999465942383,19.239999771118164,663914200.0,19.153270721435547,0.0,0.0
RAIL3.SA,2021-01-01,19.239999771118164,21.979999542236328,17.43000030517578,20.25,780042800.0,20.15871810913086,0.0,0.0
